,number_of_commits,number_of_unique_committers,week,repoID
431,0,0,2016-07-10 00:00:00+00:00,37991233
432,0,0,2016-07-17 00:00:00+00:00,37991233
433,0,0,2016-07-24 00:00:00+00:00,37991233
434,1,1,2016-07-31 00:00:00+00:00,37991233
435,0,0,2016-08-07 00:00:00+00:00,37991233
436,6,2,2016-08-14 00:00:00+00:00,37991233
437,1,1,2016-08-21 00:00:00+00:00,37991233
438,0,0,2016-08-28 00:00:00+00:00,37991233
439,0,0,2016-09-04 00:00:00+00:00,37991233
440,3,2,2016-09-11 00:00:00+00:00,37991233
441,2,2,2016-09-18 00:00:00+00:00,37991233
442,0,0,2016-09-25 00:00:00+00:00,37991233
443,0,0,2016-10-02 00:00:00+00:00,37991233
444,0,0,2016-10-09 00:00:00+00:00,37991233
445,2,1,2016-10-16 00:00:00+00:00,37991233
446,4,2,2016-10-23 00:00:00+00:00,37991233
447,0,0,2016-10-30 00:00:00+00:00,37991233
448,0,0,2016-11-06 00:00:00+00:00,37991233
449,0,0,2016-11-13 00:00:00+00:00,37991233
450,0,0,2016-11-20 00:00:00+00:00,37991233
451,0,0,2016-11-27 00:00:00+00:00,37991233
452,0,0,2016-12-04 00:00:00+00:00,37991233
453,2,2,2016-12-11 00:00:00+00:00,37991233
454,11,1,2016-12-18 00:00:00+00:00,37991233
455,35,1,2016-12-25 00:00:00+00:00,37991233
456,4,1,2017-01-01 00:00:00+00:00,37991233
457,15,2,2017-01-08 00:00:00+00:00,37991233
458,20,2,2017-01-15 00:00:00+00:00,37991233
459,11,2,2017-01-22 00:00:00+00:00,37991233
460,3,1,2017-01-29 00:00:00+00:00,37991233
461,8,2,2017-02-05 00:00:00+00:00,37991233
462,13,2,2017-02-12 00:00:00+00:00,37991233
463,4,2,2017-02-19 00:00:00+00:00,37991233
464,9,2,2017-02-26 00:00:00+00:00,37991233
465,4,1,2017-03-05 00:00:00+00:00,37991233
466,5,1,2017-03-12 00:00:00+00:00,37991233
467,3,2,2017-03-19 00:00:00+00:00,37991233
468,0,0,2017-03-26 00:00:00+00:00,37991233
469,0,0,2017-04-02 00:00:00+00:00,37991233
470,0,0,2017-04-09 00:00:00+00:00,37991233
471,3,1,2017-04-16 00:00:00+00:00,37991233
472,6,2,2017-04-23 00:00:00+00:00,37991233
473,5,2,2017-04-30 00:00:00+00:00,37991233
474,5,2,2017-05-07 00:00:00+00:00,37991233
475,0,0,2017-05-14 00:00:00+00:00,37991233
476,1,1,2017-05-21 00:00:00+00:00,37991233
477,0,0,2017-05-28 00:00:00+00:00,37991233
478,2,1,2017-06-04 00:00:00+00:00,37991233
479,9,2,2017-06-11 00:00:00+00:00,37991233
480,14,2,2017-06-18 00:00:00+00:00,37991233
481,6,1,2017-06-25 00:00:00+00:00,37991233
482,10,2,2017-07-02 00:00:00+00:00,37991233
483,2,1,2017-07-09 00:00:00+00:00,37991233
484,0,0,2017-07-16 00:00:00+00:00,37991233
485,3,2,2017-07-23 00:00:00+00:00,37991233
486,4,1,2017-07-30 00:00:00+00:00,37991233
487,3,1,2017-08-06 00:00:00+00:00,37991233
488,4,2,2017-08-13 00:00:00+00:00,37991233
